id,answer
TEST_0000, 제주경제통상진흥원은 제주지역 중소기
TEST_0001, 제주경제통상진흥원은 중국 상해대표처
TEST_0002," 2015년 8월 설립되었으며, 20"
TEST_0003, 동경통상대표부는 일본 도쿄 신주쿠에
TEST_0004, 31억7200만원입니다. ​ 
TEST_0005, 서울 성북구 서경대 풋살경기장 Qu
TEST_0006, 코로나19 감염을 예방하기 위해서다
TEST_0007, 1710명​
TEST_0008, 약 25명​
TEST_0009, 비대면 면접을 채택한 대학도 있지만
TEST_0010, 중소기업의 경영혁신과 원활한 회생과
TEST_0011," 탄소중립 경영혁신, 융복합, 산업안"
TEST_0012, 최근 3개년 평균 매출액 120억원
TEST_0013, 500만원​
TEST_0014, 중소기업 혁신바우처 플랫폼에서 할 
TEST_0015, 동남아시아 최대 온라인 플랫폼인 S
TEST_0016, 동남아시아​ 
TEST_0017, 전략 컨설팅 비용 
TEST_0018, 북미시장(아마존) 및 중국시장(알리
TEST_0019, 1720억 달러로 전망된다.​​​​
TEST_0020, 14일부터 10월 11일까지 외식 
TEST_0021, 330억원 예산이 다 쓰일 때까지 
TEST_0022, 코로나 피로감이 높은 상태에서 듣고
TEST_0023," 외식, 공연, 이벤트, 상점가 등 "
TEST_0024, 10월 12일부터 11월 11일까지
TEST_0025, 50억원 이하의 중소기업(70.7%
TEST_0026, 61.3% 
TEST_0027, 95.5%​
TEST_0028," 자금지원, 온라인 수출마케팅, 수출"
TEST_0029, 지난해 촉발된 세계경제 위기로 절반
TEST_0030, 영암군에서 5월 가정의 달을 맞아 
TEST_0031, 3천원 
TEST_0032, 무화과 쌀빵 1박스​
TEST_0033," 750,00,00원​​​​​​​​​"
TEST_0034, '남도장터' 
TEST_0035, 2단​​​​​​​​​​​​​​​​​
TEST_0036, 스티브 잡스​​​​​​​​​​​​​
TEST_0037, 스탠퍼드 대학교​​​​​​​​​​​
TEST_0038, 호암 이병철​​​​​​​​​​​​​
TEST_0039, 아이폰​
TEST_0040, 9일 오전 2시​​​​​​​​​​​
TEST_0041, 8일 오후 9시​​​​​​​​​​​
TEST_0042, 섬진강은 4대강 사업과 직접 관련이
TEST_0043, 17.51m​​​​​​​​​​​​​
TEST_0044, 보 상류와 하류의 수위 차이가 없다
TEST_0045, 대구광역시​​​​​​​​​​​​​​
TEST_0046, 10cm 정도 자랐다.​​​​​​​
TEST_0047, 서울​​​​​​​​​​​​​​​​​
TEST_0048, 전모씨는 본가로 이동하기 위해 기차
TEST_0049, 서울 집에서 혼자 보내기로 결정했어
TEST_0050, 대한변호사협회 
TEST_0051, 전현정 전 부장판사​​​​​​​​​
TEST_0052, 김진욱(사법연수원 21기·대구) 헌
TEST_0053," 전종민(24기·서울), 권동주(26"
TEST_0054, 손기호 전 사무총장이야. 2014년
TEST_0055, 재생산지수(R)는 1명이 몇 명을 
TEST_0056, 1. 검진되지 않은 확진자 2. n
TEST_0057, 정은경 질병관리본부 중앙방역대책본부
TEST_0058, 841명. ​
TEST_0059, 2단계​
TEST_0060, ○○은행의 ○○적금이다.​
TEST_0061, 20만원​​​​​​​​​​​​​​​
TEST_0062, 2만원​​​​​​​​​​​​​​​​
TEST_0063, 연 0.3% 수준​​​​​​​​​​
TEST_0064, 500만원​​​​​​​​​​​​​​
TEST_0065, 감사원 사무총장 
TEST_0066, 문 대통령은 노무현 정부 초대와 3
TEST_0067," 민정수석은 검찰과 경찰, 국정원, "
TEST_0068, 1. 검찰개혁에 대한 이해도가 낮다
TEST_0069, 1. 2017년 5월~2018년 8
TEST_0070, 산업은행은 아시아나항공을 한진그룹에
TEST_0071, 50%를 넘으면 경쟁을 제한할 가능
TEST_0072, 30.77%​​​​​​​​​​​​​
TEST_0073, 259대​​​​​​​​​​​​​​​
TEST_0074, 15조원이 넘는 대형 항공사가 탄생
TEST_0075, 올해 들어 3월까지 토지 거래량은 
TEST_0076, 20.7% 증가했다. ​​​​​​​
TEST_0077," 1624필지, 116만600m2로 "
TEST_0078, 0.00%​​​​​​​​​​​​​​
TEST_0079, 제주지역 토지거래량이 증가하고 아파
TEST_0080, 2021년 7월 ​​​​​​​​​​
TEST_0081, 70억 
TEST_0082, 4631m2 
TEST_0083, 다목적 강당과 공유주방(모두의 부엌
TEST_0084, 1층 
TEST_0085, 2020년 8월 12일​​​​​​​
TEST_0086, 광주 217번 확진자로 분류되었다.
TEST_0087, 광주시는 지난 16일 연휴를 맞은 
TEST_0088, 25일까지 내렸음.​​​​​​​​​
TEST_0089, 광주시는 휴대전화 위성위치확인시스템
TEST_0090, 삼성전자가 세척부터 건조·살균까지 
TEST_0091, 360도 제트샷과 열풍건조 기능이다
TEST_0092," 빌트인 전용 제품으로, 도어 패널은"
TEST_0093, 144~184만원 
TEST_0094, 11일부터 10월 8일까지​​​​​
TEST_0095, 1. 4.15 총선 선거사범의 공소
TEST_0096, 4개​​​​​​​​​​​​​​​​​
TEST_0097, 1년​​​​​​​​​​​​​​​​​
TEST_0098, 배용원​​​​​​​​​​​​​​​​
TEST_0099, 4.15 총선 선거사범의 공소시효가
TEST_0100, 올해 경기도 아파트값 상승률은 8.
TEST_0101, 구리시다. 18.55%나 올랐다. 
TEST_0102, 18.55%​​​​​​​​​​​​​
TEST_0103, 6129만원​​​​​​​​​​​​​
TEST_0104, 5억4981만원​​​​​​​​​​​
TEST_0105, 교사​
TEST_0106, 12년 만이다.​​​​​​​​​​​
TEST_0107, 60~80대 
TEST_0108, 64.7%​
TEST_0109, 약 19만 800명​
TEST_0110, A씨는 쿠팡플렉스(일반인이 자기 차
TEST_0111, 삼성화재 부설 삼성교통안전문화연구소
TEST_0112, 올해 쿠팡플렉스 신규 가입자 수만 
TEST_0113, 550대​
TEST_0114, 40% 수준입니다.​​​​​​​​​
TEST_0115, 뱅앤올룹슨​​​​​​​​​​​​​​
TEST_0116, 이마트의 TV와 안마의자 매출이 2
TEST_0117, 전자랜드의 컴퓨터 매출이 56% 증
TEST_0118, 141% 증가​​​​​​​​​​​​
TEST_0119, 한샘과 현대리바트의 올해 매출은 3
TEST_0120, 8월 7일(금)부터 8월 13일(목
TEST_0121, 8월 21일​​​​​​​​​​​​​
TEST_0122, 119만900원​​​​​​​​​​​
TEST_0123, 145만200원입니다.​​​​​​​
TEST_0124, 오는 14일부터 제품을 수령하고 개
TEST_0125, 수면패턴을 갑자기 바꾸는 것은 역효
TEST_0126, 6시간 
TEST_0127, 탄수화물과 신선한 야채를 충분히 포
TEST_0128, 신경안정제를 꼭 복용하고 싶다면 반
TEST_0129, 18~22도 
TEST_0130, 세노바메이트는 미국 FDA의 승인을
TEST_0131, 2021년 4월 1일 
TEST_0132, SK라이프사이언스다. SK라이프사이
TEST_0133, 유럽의약품청(EMA)의 허가를 받아
TEST_0134, 7건이다. 
TEST_0135, 약 345억 달러(약 39조 150
TEST_0136, 중국 금융당국이다.​​​​​​​​​
TEST_0137, 중국증권감독위원회ᆞ국가외환관리위원회
TEST_0138, 앤트그룹의 상장을 유예했다.​​​​
TEST_0139, 중국 당국의 손에 들어갔다.​​​​
TEST_0140, 더불어민주당 
TEST_0141, 김회재​​​​​​​​​​​​​​​​
TEST_0142, 공직자 및 공직자 가족이 부동산 거
TEST_0143, 부동산 투기 정보를 사전에 취득할 
TEST_0144, 공직자 및 공직자 가족이 부동산 거
TEST_0145, 1. 2017년 5월 문재인 대통령
TEST_0146, ​1. 2017년 5월 24일 문재
TEST_0147, 청원경찰로 전환해야 한다. 
TEST_0148, 2017년 12월 20일 노사 합의
TEST_0149, 건강상의 사유로 출석을 거부했다. 
TEST_0150, 1272건​​​​​​​​​​​​​​
TEST_0151, 91.8%​​​​​​​​​​​​​​
TEST_0152, 내년 4월 21일부터 만 34세 이
TEST_0153, 8.4%​​​​​​​​​​​​​​​
TEST_0154, 양육비 미지급 시 운전면허 정지한다
TEST_0155, 바이든 당선 시 미·중 갈등이 더 
TEST_0156, 바이든 후보가 당선될 경우 ‘바이든
TEST_0157, 바이든 후보는 상원의원 30년 중 
TEST_0158, 바이든 후보는 상원의원 30년 중 
TEST_0159, 바이든 후보는 상원의원 30년 중 
TEST_0160, 2020년 10월 5일​​​​​​​
TEST_0161, 345억 달러. ​​​​​​​​​​
TEST_0162, 알리페이​​​​​​​​​​​​​​​
TEST_0163, 소액대출이다. 앤트그룹은 알리페이(
TEST_0164, 2018년 10월 10일​​​​​​
TEST_0165, 9.46% 상승했다.​
TEST_0166, 개별공시지가를 산정하는 프로세스는 
TEST_0167, 함평군청 홈페이지에서 열람하거나 군
TEST_0168, 6월30일​
TEST_0169, 7월30일​
TEST_0170, 40원​​​​​​​​​​​​​​​​
TEST_0171, 통신사 본인인증은 크게 두 가지 방
TEST_0172, 패스인증 선호​​​​​​​​​​​​
TEST_0173, 패스인증 수수료는 문자인증 수수료에
TEST_0174, 통신3사가 패스인증 사용을 강제하는
TEST_0175, 라임자산운용 사건과 윤석열 총장의 
TEST_0176, 윤석열 총장을 겨냥한 것으로 해석된
TEST_0177, 22일 오후 7시 50분경​
TEST_0178, 위법 논란이 이는 대목은 대검 감찰
TEST_0179, 1. 추미애 장관의 감찰 지시에 대
TEST_0180, 완도군과 울타리USA가 미국 온라인
TEST_0181, 울타리USA 온라인 몰과 미주 중앙
TEST_0182," 다시마전복수산영어조합법인, 흥일식품"
TEST_0183, 2006년​​​​​​​​​​​​​​
TEST_0184, 3600만 달러 
TEST_0185, 6권​
TEST_0186, 229권​
TEST_0187, 6912건​
TEST_0188, 20만건 이상 적다. ​​​​​​​
TEST_0189, 도서관의 빅데이터를 분석하여 테마를
TEST_0190, 2021년 7월 14일​
TEST_0191, 2만명​​​​​​​​​​​​​​​​
TEST_0192, 4대 의료정책 
TEST_0193, 2만명​​​​​​​​​​​​​​​​
TEST_0194, 1. 응급도 낮은 수술을 일부 연기
TEST_0195, 3억원​
TEST_0196, 10개소​
TEST_0197, 3월​
TEST_0198, 2021년 12월​
TEST_0199, 50명​
TEST_0200, 위니아딤채​​​​​​​​​​​​​​
TEST_0201, 퓨어플렉스​​​​​​​​​​​​​​
TEST_0202, 500원 
TEST_0203, 동물자유연대 
TEST_0204, 5월​
TEST_0205, 2020년 12월 1일​​​​​​​
TEST_0206, 열병합 발전소 
TEST_0207, 우드팰릿(Wood Pellet)​​
TEST_0208, 2조 200억원​​​​​​​​​​​
TEST_0209, SGC의 로고 의미 추가 내용​​​
TEST_0210, 점심시간대​​​​​​​​​​​​​​
TEST_0211, 220억원​​​​​​​​​​​​​​
TEST_0212, 396대​​​​​​​​​​​​​​​
TEST_0213, 9억4852만원​​​​​​​​​​​
TEST_0214, 3억 8337만원​​​​​​​​​​
TEST_0215, 10월 16일​ 
TEST_0216, 명지대학교(총장 유병진) ‘한국반도
TEST_0217, 한양대 전형탁 교수 
TEST_0218, 한기대 장영철 교수야. 
TEST_0219, 한국산업기술대 김기현 교수야.​​​
TEST_0220, 34기​​​​​​​​​​​​​​​​
TEST_0221, 12일 ​
TEST_0222, 1월 21일 
TEST_0223, 2017년 10월 10일 ​
TEST_0224, 대검 정책기획과가 법무부 검찰과와 
TEST_0225," 유아용품, 겨울의류​​​​​​​​​"
TEST_0226, 1억800만원​​​​​​​​​​​​
TEST_0227, 89.6대 1​​​​​​​​​​​​
TEST_0228, 8조6242억원​​​​​​​​​​​
TEST_0229, 80%​​​​​​​​​​​​​​​​
TEST_0230, 50만원​​​​​​​​​​​​​​​
TEST_0231, 석호길​
TEST_0232, Group TRD 회장은 한지운이야
TEST_0233, 익성 해외총괄그룹장은 박성대야.​Q
TEST_0234, 2021년 1월 19일​
TEST_0235, 탄자니아. 케냐. 파라과이. 브라질
TEST_0236, 1만 500개 이상​​​​​​​​​
TEST_0237, 1800만명 이상​​​​​​​​​​
TEST_0238, 2025년 거래액 25조원 달성​​
TEST_0239, 600만회​​​​​​​​​​​​​​
TEST_0240," TV홈쇼핑 시장, 모바일 커머스 시"
TEST_0241, 84​​​​​​​​​​​​​​​​​
TEST_0242, 92​​​​​​​​​​​​​​​​​
TEST_0243, 기계(90)와 소재(88) 부문의 
TEST_0244, 68.6​​​​​​​​​​​​​​​
TEST_0245, 7.8조원​​​​​​​​​​​​​​
TEST_0246, 1500대​
TEST_0247, 김학동​​​​​​​​​​​​​​​​
TEST_0248, 포스코 청송대​
TEST_0249, 일렉시티​​​​​​​​​​​​​​​
TEST_0250, 500만톤​​​​​​​​​​​​​​
TEST_0251, 서울 역삼동 835-11번지 3층이
TEST_0252, 1억달러이다.​ 
TEST_0253, 2500달러이다.​​​​​​​​​​
TEST_0254, 11월 14일 토요일 오후 2시​ 
TEST_0255, 빅리버II 프로젝트는 미국 아칸소주
TEST_0256, 3.98%​
TEST_0257, 200여종​​​​​​​​​​​​​​
TEST_0258, 드라이브스루 집회 ​​​​​​​​​
TEST_0259, 2012년 
TEST_0260, 드림그림은 한성자동차 울프 아우스프
TEST_0261, 2013년​
TEST_0262," 2015년 40명, 2016년 40"
TEST_0263," 온라인 수업, 온라인 행사, 온라인"
TEST_0264, 28위 
TEST_0265, 500만원​​​​​​​​​​​​​​
TEST_0266, 2020년 8월 ​
TEST_0267, 2017년 9월​​​​​​​​​​​
TEST_0268," 1. 투기지역, 투기과열지구 2. "
TEST_0269, 7월​ 
TEST_0270, 2022년​​​​​​​​​​​​​​
TEST_0271, 2021~2023년​​​​​​​​​
TEST_0272, 63.8%​​​​​​​​​​​​​​
TEST_0273, 73만명​
TEST_0274, 공약 이행이 사실상 실패한 것 아니
TEST_0275," 실손보험, 자동차보험, 화재보험, "
TEST_0276, 종신보험은 피보험자가 사망할 때까지
TEST_0277, 암보험은 30세 이전에 가입해야 한
TEST_0278, 저축성 보험은 만기에 원금과 이자를
TEST_0279, 57%​​​​​​​​​​​​​​​​
TEST_0280," 왓챠, 웨이브, 티빙​​​​​​​​"
TEST_0281, 2021년 1월 21일​​​​​​​
TEST_0282, 건별 결제 방식​​​​​​​​​​​
TEST_0283, 넷플릭스도 SVOD 방식으로 계약을
TEST_0284, 극장 개봉 이후 3~6개월 사이 I
TEST_0285, 2~8°C​​​​​​​​​​​​​​
TEST_0286, 서울대학교 산학협력단​​​​​​​​
TEST_0287, 30.3% 
TEST_0288, 25.4% 
TEST_0289, 100%​​​​​​​​​​​​​​​
TEST_0290, 43.5%​​​​​​​​​​​​​​
TEST_0291, 송경환​
TEST_0292, 12억 5200만원​​​​​​​​​
TEST_0293, 6억9100만원​​​​​​​​​​​
TEST_0294, 2019년 6억9100만원에서 20
TEST_0295, 코로나19로 방문객이 줄어 어려움을
TEST_0296, 23번째 ​​​​​​​​​​​​​​
TEST_0297, 10만 가구 ​​​​​​​​​​​​
TEST_0298, 204% ​​​​​​​​​​​​​​
TEST_0299, 강남구 ​​​​​​​​​​​​​​​
TEST_0300, 800가구. ​​​​​​​​​​​​
TEST_0301, 분당 소재 88평짜리 대형 주상복합
TEST_0302, 360만원​​​​​​​​​​​​​​
TEST_0303, B씨의 처남​​​​​​​​​​​​​
TEST_0304, 빅데이터 분석​​​​​​​​​​​​
TEST_0305, 85.7%​​​​​​​​​​​​​​
TEST_0306, 100kW​​​​​​​​​​​​​​
TEST_0307, 2018년 ​​​​​​​​​​​​​
TEST_0308, 300mm​​​​​​​​​​​​​​
TEST_0309, 1만2721개​​​​​​​​​​​​
TEST_0310, 산지 태양광 발전시설의 운영 상황을
TEST_0311, 61대1​​​​​​​​​​​​​​​
TEST_0312," 10월 12일, 22일​"
TEST_0313," 10월 12일, 22일​"
TEST_0314, 10월 22일​
TEST_0315, 10월 26일​
TEST_0316," 2013년 10월 4일, 국정감사장"
TEST_0317, 5억원이다. 
TEST_0318, 324억3900만원 ​​​​​​​​
TEST_0319, 305억7800만원 ​​​​​​​​
TEST_0320, 5400만원 ​​​​​​​​​​​​
TEST_0321, 146억9800만원 ​​​​​​​​
TEST_0322, 2019년 판매관리비는 234억29
TEST_0323, 600만원​
TEST_0324, 경기도 고양시 킨텍스​​​​​​​​
TEST_0325, 코로나19로 인해 비대면이 일상화 
TEST_0326," 베이징, 베이징​​​​​​​​​​​"
TEST_0327, N사​​​​​​​​​​​​​​​​​
TEST_0328, 1.경기도와 경과원의 사전 매칭을 
TEST_0329, 한화손해보험​​​​​​​​​​​​​
TEST_0330, 100조원​​​​​​​​​​​​​​
TEST_0331, 2019년 6월 20일 ​​​​​​
TEST_0332, 11 
TEST_0333, 36명​​​​​​​​​​​​​​​​
TEST_0334, 더불어민주당​​​​​​​​​​​​​
TEST_0335, 정의당 심상정 대표의 지역 사무실은
TEST_0336, 4.9도​​​​​​​​​​​​​​​
TEST_0337, 선관주의 의무​​​​​​​​​​​​
TEST_0338, 아트리파라다이스​​​​​​​​​​​
TEST_0339, 부실사모사채​​​​​​​​​​​​​
TEST_0340, 하나은행​​​​​​​​​​​​​​​
TEST_0341, 1. 옵티머스 펀드의 문제점을 지적
TEST_0342, 12월 10일​​​​​​​​​​​​
TEST_0343, 조지아주​​​​​​​​​​​​​​​
TEST_0344, 67일​​​​​​​​​​​​​​​​
TEST_0345, 2022년​​​​​​​​​​​​​​
TEST_0346, 11월 3일​​​​​​​​​​​​​
TEST_0347, 공군29전술개발훈련비행전대(29전대
TEST_0348, 2021년 7월 10일​​​​​​​
TEST_0349, 8살이야.​​​​​​​​​​​​​​
TEST_0350, 11년 전​​​​​​​​​​​​​​
TEST_0351, 12명​​​​​​​​​​​​​​​​
TEST_0352, 59조원 증가했어.​
TEST_0353, 2조4865억원 감소(-9.46%)
TEST_0354, 전체 대비 2.28%로 전월보다 0
TEST_0355, 229억원​
TEST_0356, 박셀바이오​​​​​​​​​​​​​​
TEST_0357, 5.3%​​​​​​​​​​​​​​​
TEST_0358, 7980만대​​​​​​​​​​​​​
TEST_0359," 샤오미, 오포, 비보, 리얼미, 애"
TEST_0360, 1.2%​​​​​​​​​​​​​​​
TEST_0361, 6억3500만대​​​​​​​​​​​
TEST_0362, 1만1777대​​​​​​​​​​​​
TEST_0363, 2020년 8월 17일​​​​​​​
TEST_0364, 40만 131명​​​​​​​​​​​
TEST_0365, 감염병예방법 제70조(감염병 유행에
TEST_0366, Preventive treatmen
TEST_0367, 5개 지자체​​​​​​​​​​​​​
TEST_0368, 81개 시·군·구​​​​​​​​​​
TEST_0369, 24곳​​​​​​​​​​​​​​​​
TEST_0370, 55건​​​​​​​​​​​​​​​​
TEST_0371, 314건​​​​​​​​​​​​​​​
TEST_0372, 12곳​​​​​​​​​​​​​​​​
TEST_0373, 서울특별시 구로구 신도림동​​​​​
TEST_0374, 1조 700억원​​​​​​​​​​​
TEST_0375, 노무현 정부 시절인 2004~200
TEST_0376, 10% 
TEST_0377, 해고자·실업자 노조가입허용과 노조 
TEST_0378," 1차 시장으로 양질의 일자리이며, "
TEST_0379, 대통령의 노동개혁 추진력​​​​​​
TEST_0380, 2099억원​​​​​​​​​​​​​
TEST_0381, 씨젠은 4분기에도 실적이 나아질 것
TEST_0382, 백신 개발 소식에 씨젠 주가는 하락
TEST_0383, CFX96​​​​​​​​​​​​​​
TEST_0384, 60%​​​​​​​​​​​​​​​​
TEST_0385, 약 3000명​​​​​​​​​​​​
TEST_0386, 고용노동부 
TEST_0387, E9 비자​​​​​​​​​​​​​​
TEST_0388, 목포해양경찰서 
TEST_0389," 베트남, 필리핀, 인도네시아, 태국"
TEST_0390, 2020년 10월 21일​​​​​​
TEST_0391, 2020년 4월 23일​
TEST_0392, 2020년 9월 21일​
TEST_0393, 54세​​​​​​​​​​​​​​​​
TEST_0394, 31기​​​​​​​​​​​​​​​​
TEST_0395, 1인당 25만 원이다. 
TEST_0396, 2021년 1월 18일 0시 기준 
TEST_0397, 720억 원 
TEST_0398, 선불카드로 지급한다. 
TEST_0399, 선불카드로 지급된다. 
TEST_0400, 54명​​​​​​​​​​​​​​​​
TEST_0401, 1 이하​​​​​​​​​​​​​​​
TEST_0402, 139개​​​​​​​​​​​​​​​
TEST_0403, 10월 12일​​​​​​​​​​​​
TEST_0404, 10월 11일​​​​​​​​​​​​
TEST_0405, 8억 6700만원​​​​​​​​​​
TEST_0406, 금시작비(今是昨非)​​​​​​​​​
TEST_0407, 법무연수원​​​​​​​​​​​​​​
TEST_0408, 추 장관은 윤 총장을 향한 비판의 
TEST_0409, 2020년 11월 5일​
TEST_0410, 추미애 법무부 장관이 윤석열 검찰총
TEST_0411, 2021년 3월 13일​​​​​​​
TEST_0412, 전태일 열사 50주기를 맞은 날​​
TEST_0413," 정의당 대변인이자, 정의당 소속 국"
TEST_0414, 국민의힘​​​​​​​​​​​​​​​
TEST_0415, 카이스트​​​​​​​​​​​​​​​
TEST_0416, 6종이다. ​​​​​​​​​​​​​
TEST_0417, 888.2% 
TEST_0418, 130종이다. ​​​​​​​​​​​
TEST_0419, 40대​​​​​​​​​​​​​​​​
TEST_0420, 13일부터 18일까지 6일간이다. 
TEST_0421, 황세운 자본시장연구원 연구위원​​​
TEST_0422, 69.1%​​​​​​​​​​​​​​
TEST_0423, 3개월​​​​​​​​​​​​​​​​
TEST_0424, 62.5%​​​​​​​​​​​​​​
TEST_0425, 75.6%​​​​​​​​​​​​​​
TEST_0426, 55.7%​​​​​​​​​​​​​​
TEST_0427, 차량 단위 가맹계약​​​​​​​​​
TEST_0428, 부동산 관리업체​​​​​​​​​​​
TEST_0429, 8.50~9.75홍콩달러​​​​​​
TEST_0430, 코너스톤 등 펀드 23곳​​​​​​
TEST_0431, 부동산 개발회사다.​​​​​​​​​
TEST_0432, 16억200만 주다. 이 가운데 절
TEST_0433, 25~30%​
TEST_0434, 중국 신장위구르자치구​​​​​​​​
TEST_0435, 59.25포인트 하락​​​​​​​​
TEST_0436, 개인투자자​​​​​​​​​​​​​​
TEST_0437, 대구​​​​​​​​​​​​​​​​​
TEST_0438, 5.39%​​​​​​​​​​​​​​
TEST_0439, 2억225만5530주​​​​​​​​
TEST_0440, 47억원 
TEST_0441, 서초구 반포동 반포3주구 아파트. 
TEST_0442, 삼성물산​​​​​​​​​​​​​​​
TEST_0443, 50층​​​​​​​​​​​​​​​​
TEST_0444, 250% 
TEST_0445, 386가구​​​​​​​​​​​​​​
TEST_0446, 2008년 
TEST_0447, 700억엔(7조 8000억원)​​​
TEST_0448, 120개 국가 
TEST_0449, 824억 달러(약 97조원)​​​​
TEST_0450, 75%​​​​​​​​​​​​​​​​
TEST_0451, 디지털 인버터 컴프레서​
TEST_0452, 40dB(데시벨) 수준​
TEST_0453, 70%​
TEST_0454, 5개​
TEST_0455," 849,00원​​​​​​​​​​​​"
TEST_0456, XD 플렉스 모듈​​​​​​​​​​
TEST_0457, 2007년 
TEST_0458, 2009년​​​​​​​​​​​​​​
TEST_0459, 2017년 
TEST_0460, 2013년 
TEST_0461, 449억 800만 달러​​​​​​​
TEST_0462, 390억 달러로 지난해보다 5.8%
TEST_0463, 2018년 11월​​​​​​​​​​
TEST_0464, 80억 달러​​​​​​​​​​​​​
TEST_0465, ​코로나19 재확산과 함께 진단키트
TEST_0466, 68개​​​​​​​​​​​​​​​​
TEST_0467, 16일 0시 기준 국내 코로나19 
TEST_0468, 20개​​​​​​​​​​​​​​​​
TEST_0469, 97개​​​​​​​​​​​​​​​​
TEST_0470, 8월 14일​​​​​​​​​​​​​
TEST_0471, 576원​
TEST_0472, 7~800원​​​​​​​​​​​​​
TEST_0473," 1300원에 이르면서, 원가는 물론"
TEST_0474, 7~8000원​​​​​​​​​​​​
TEST_0475, 2500~300원​​​​​​​​​​
TEST_0476," 중국, 러시아, 카자흐스탄, 키르기"
TEST_0477, 2001년​​​​​​​​​​​​​​
TEST_0478, 2015년 6월 29일n 
TEST_0479, 16개 국가다.​​​​​​​​​​​
TEST_0480, SCO는 2017년 6월 6일 1차
TEST_0481, 5억7000만원​
TEST_0482, 2066억2000만원 
TEST_0483, 22개 조항​​​​​​​​​​​​​
TEST_0484, 69년​​​​​​​​​​​​​​​​
TEST_0485, 200년 12월 29일 제정된 ‘산
TEST_0486," 석사 논문은 600만원, 박사는 1"
TEST_0487, 위챗(WeChat)은 중국 최대 메
TEST_0488, 2019년​​​​​​​​​​​​​​
TEST_0489, 25.5%​​​​​​​​​​​​​​
TEST_0490, 16만165명​​​​​​​​​​​​
TEST_0491, 19기 5중전회​​​​​​​​​​​
TEST_0492, 2011년 ​​​​​​​​​​​​​
TEST_0493, 10.5%​​​​​​​​​​​​​​
TEST_0494, 2025년​​​​​​​​​​​​​​
TEST_0495, 미국​​​​​​​​​​​​​​​​​
TEST_0496, 비소세포성 폐암·삼중음성유방암 치료
TEST_0497, 진퀀텀​​​​​​​​​​​​​​​​
TEST_0498, 2578억위안​
TEST_0499, 60여건​​​​​​​​​​​​​​​
